Activity,Type,Participants,Price
Make a new friend,social,1,0
Play a game of tennis with a friend,social,2,0.1
Have a picnic with some friends,social,3,0.1
Hold a video game tournament with some friends,social,4,0
Invite some friends over for a game night,social,4,0
Play a game of Monopoly,social,4,0.2
Start a family tree,social,1,0
Go to a music festival with some friends,social,4,0.4
Visit your past teachers,social,1,0
Write a note of appreciation to someone,social,1,0
Have a football scrimmage with some friends,social,8,0
Go to a karaoke bar with some friends,social,4,0.5
Have a photo session with some friends,social,4,0.05
Explore the nightlife of your city,social,1,0.1
Catch up with a friend over a lunch date,social,2,0.2
Go on a fishing trip with some friends,social,3,0.4
Hold a yard sale,social,1,0
Surprise your significant other with something considerate,social,1,0
Go to a concert with some friends,social,4,0.6
Go swimming with a friend,social,2,0.1
Play a volleyball match with some friends,social,4,0
Play basketball with a group of friends,social,5,0
Go see a movie in theaters with a few friends,social,4,0.2
Host a movie marathon with some friends,social,3,0.1
Write a thank you letter to an influential person in your life,social,1,0
Do something nice for someone you care about,social,1,0
Take a spontaneous road trip with some friends,social,4,0.2
Go to an escape room,social,4,0.5
Compliment someone,social,2,0
Pull a harmless prank on one of your friends,social,1,0.1
Have a paper airplane contest with some friends,social,4,0.02
Go to a concert with local artists with some friends,social,3,0.4
Write a handwritten letter to somebody,social,1,0.1
Have a bonfire with your close friends,social,4,0.1
Text a friend you haven't talked to in a long time,social,2,0.05
Meditate for five minutes,relaxation,1,0
Go on a long drive with no music,relaxation,1,0.1
Sit in the dark and listen to your favorite music with no distractions,relaxation,1,0
Pot some plants and put them around your house,relaxation,1,0.4
Take your cat on a walk,relaxation,1,0.02
Watch a movie you'd never usually watch,relaxation,1,0.15
Listen to a new podcast,relaxation,1,0.05
Go for a walk,relaxation,1,0
Plan a vacation you've always wanted to take,relaxation,1,0
Draw and color a Mandala,relaxation,1,0.05
Give your pet ten minutes of focused attention,relaxation,1,0
Look at pictures and videos of cute animals,relaxation,1,0
Shop at support your local farmers market,relaxation,1,0.2
Go to the library and find an interesting book,relaxation,1,0.05
Start a book you've never gotten around to reading,relaxation,1,0.1
Do something you used to do as a kid,relaxation,1,0.1
Write a list of things you are grateful for,relaxation,1,0
Color,relaxation,1,0.1
